"Arquivo","AntesMB","DepoisMB","EconomiaPct","Status"
"public\assets\hero-coracoes.jpg","0,095","0,057","40,1","convertido"
"public\assets\juju-crianca.jpg","0,096","0,1","-4,4","mantido: economia < 8%"
"public\assets\jujucarnaval02.jpeg","0,159","0,087","45,2","convertido"
"public\assets\jujucasamento.jpg","0,163","0,09","44,8","convertido"
"public\assets\jujuformatura.jpeg","0,125","0,096","23,5","convertido"
"public\assets\titulo-abertura.png","0,497","0,201","59,6","convertido"
"public\assets\ato-2\gym-1.jpg","0,075","0,061","18,8","convertido"
"public\assets\ato-2\gym-2.jpg","0,237","0,188","20,5","convertido"
"public\assets\ato-2\gym-3.jpg","0,16","0,102","36,6","convertido"
"public\assets\ato-2\gym-4.jpg","0,132","0,125","5,1","mantido: economia < 8%"
"public\assets\ato-2\rotina-1.jpeg","0,136","0,077","43,7","convertido"
"public\assets\ato-2\rotina-2.jpeg","0,134","0,076","43,5","convertido"
"public\assets\ato-2\rotina-3.jpeg","0,096","0,08","16,5","convertido"
"public\assets\ato-2\rotina-4.jpeg","0,104","0,083","20,1","convertido"
"public\assets\ato-2\skin.jpg","0,095","0,082","14,1","convertido"
"public\assets\ato-2\smile-1.jpg","0,111","0,111","0,1","mantido: economia < 8%"
"public\assets\ato-2\smile-2.jpeg","0,393","0,359","8,7","convertido"
"public\assets\ato-2\smile-3.jpeg","0,209","0,235","-12,2","mantido: economia < 8%"
"public\assets\ato-2\smile-4.jpeg","0,176","0,116","34,1","convertido"
"public\assets\ato-2\style-1.jpg","0,092","0,08","13,5","convertido"
"public\assets\ato-2\style-2.jpeg","0,154","0,094","39","convertido"
"public\assets\ato-2\style-3.jpeg","0,19","0,133","30","convertido"
"public\assets\ato-2\style-4.jpeg","0,1","0,084","16,2","convertido"
"public\assets\ato-2\work-1.jpg","0,371","0,349","6","mantido: economia < 8%"
"public\assets\ato-2\work-2.jpeg","0,124","0,07","43,1","convertido"
"public\assets\ato-2\work-3.jpeg","0,189","0,156","17,4","convertido"
